consumption,interval_start,interval_end
0.076,2021-02-24T23:00:00Z,2021-02-24T23:30:00Z
0.077,2021-02-24T22:30:00Z,2021-02-24T23:00:00Z
0.119,2021-02-24T22:00:00Z,2021-02-24T22:30:00Z
0.12,2021-02-24T21:30:00Z,2021-02-24T22:00:00Z
0.144,2021-02-24T21:00:00Z,2021-02-24T21:30:00Z
0.326,2021-02-24T20:30:00Z,2021-02-24T21:00:00Z
0.133,2021-02-24T20:00:00Z,2021-02-24T20:30:00Z
0.178,2021-02-24T19:30:00Z,2021-02-24T20:00:00Z
0.107,2021-02-24T19:00:00Z,2021-02-24T19:30:00Z
0.119,2021-02-24T18:30:00Z,2021-02-24T19:00:00Z
0.1,2021-02-24T18:00:00Z,2021-02-24T18:30:00Z
0.444,2021-02-24T17:30:00Z,2021-02-24T18:00:00Z
0.144,2021-02-24T17:00:00Z,2021-02-24T17:30:00Z
0.143,2021-02-24T16:30:00Z,2021-02-24T17:00:00Z
0.115,2021-02-24T16:00:00Z,2021-02-24T16:30:00Z
0.132,2021-02-24T15:30:00Z,2021-02-24T16:00:00Z
0.371,2021-02-24T15:00:00Z,2021-02-24T15:30:00Z
0.116,2021-02-24T14:30:00Z,2021-02-24T15:00:00Z
0.13,2021-02-24T14:00:00Z,2021-02-24T14:30:00Z
0.123,2021-02-24T13:30:00Z,2021-02-24T14:00:00Z
0.096,2021-02-24T13:00:00Z,2021-02-24T13:30:00Z
0.306,2021-02-24T12:30:00Z,2021-02-24T13:00:00Z
0.133,2021-02-24T12:00:00Z,2021-02-24T12:30:00Z
0.106,2021-02-24T11:30:00Z,2021-02-24T12:00:00Z
0.118,2021-02-24T11:00:00Z,2021-02-24T11:30:00Z
0.192,2021-02-24T10:30:00Z,2021-02-24T11:00:00Z
0.514,2021-02-24T10:00:00Z,2021-02-24T10:30:00Z
0.64,2021-02-24T09:30:00Z,2021-02-24T10:00:00Z
0.324,2021-02-24T09:00:00Z,2021-02-24T09:30:00Z
0.107,2021-02-24T08:30:00Z,2021-02-24T09:00:00Z
0.132,2021-02-24T08:00:00Z,2021-02-24T08:30:00Z
0.802,2021-02-24T07:30:00Z,2021-02-24T08:00:00Z
1.14,2021-02-24T07:00:00Z,2021-02-24T07:30:00Z
1.644,2021-02-24T06:30:00Z,2021-02-24T07:00:00Z
0.314,2021-02-24T06:00:00Z,2021-02-24T06:30:00Z
0.83,2021-02-24T05:30:00Z,2021-02-24T06:00:00Z
1.092,2021-02-24T05:00:00Z,2021-02-24T05:30:00Z
0.106,2021-02-24T04:30:00Z,2021-02-24T05:00:00Z
0.06,2021-02-24T04:00:00Z,2021-02-24T04:30:00Z
0.078,2021-02-24T03:30:00Z,2021-02-24T04:00:00Z
0.062,2021-02-24T03:00:00Z,2021-02-24T03:30:00Z
0.084,2021-02-24T02:30:00Z,2021-02-24T03:00:00Z
0.082,2021-02-24T02:00:00Z,2021-02-24T02:30:00Z
0.121,2021-02-24T01:30:00Z,2021-02-24T02:00:00Z
0.055,2021-02-24T01:00:00Z,2021-02-24T01:30:00Z
0.076,2021-02-24T00:30:00Z,2021-02-24T01:00:00Z
0.066,2021-02-24T00:00:00Z,2021-02-24T00:30:00Z
0.072,2021-02-23T23:30:00Z,2021-02-24T00:00:00Z
0.081,2021-02-23T23:00:00Z,2021-02-23T23:30:00Z
0.065,2021-02-23T22:30:00Z,2021-02-23T23:00:00Z
0.136,2021-02-23T22:00:00Z,2021-02-23T22:30:00Z
0.12,2021-02-23T21:30:00Z,2021-02-23T22:00:00Z
0.127,2021-02-23T21:00:00Z,2021-02-23T21:30:00Z
0.17,2021-02-23T20:30:00Z,2021-02-23T21:00:00Z
0.276,2021-02-23T20:00:00Z,2021-02-23T20:30:00Z
0.144,2021-02-23T19:30:00Z,2021-02-23T20:00:00Z
0.119,2021-02-23T19:00:00Z,2021-02-23T19:30:00Z
0.101,2021-02-23T18:30:00Z,2021-02-23T19:00:00Z
0.12,2021-02-23T18:00:00Z,2021-02-23T18:30:00Z
0.181,2021-02-23T17:30:00Z,2021-02-23T18:00:00Z
0.42,2021-02-23T17:00:00Z,2021-02-23T17:30:00Z
0.152,2021-02-23T16:30:00Z,2021-02-23T17:00:00Z
0.151,2021-02-23T16:00:00Z,2021-02-23T16:30:00Z
0.15,2021-02-23T15:30:00Z,2021-02-23T16:00:00Z
0.561,2021-02-23T15:00:00Z,2021-02-23T15:30:00Z
0.145,2021-02-23T14:30:00Z,2021-02-23T15:00:00Z
0.07,2021-02-23T14:00:00Z,2021-02-23T14:30:00Z
0.087,2021-02-23T13:30:00Z,2021-02-23T14:00:00Z
0.107,2021-02-23T13:00:00Z,2021-02-23T13:30:00Z
0.14,2021-02-23T12:30:00Z,2021-02-23T13:00:00Z
0.203,2021-02-23T12:00:00Z,2021-02-23T12:30:00Z
0.098,2021-02-23T11:30:00Z,2021-02-23T12:00:00Z
0.119,2021-02-23T11:00:00Z,2021-02-23T11:30:00Z
0.242,2021-02-23T10:30:00Z,2021-02-23T11:00:00Z
0.138,2021-02-23T10:00:00Z,2021-02-23T10:30:00Z
0.171,2021-02-23T09:30:00Z,2021-02-23T10:00:00Z
0.13,2021-02-23T09:00:00Z,2021-02-23T09:30:00Z
0.114,2021-02-23T08:30:00Z,2021-02-23T09:00:00Z
0.141,2021-02-23T08:00:00Z,2021-02-23T08:30:00Z
0.152,2021-02-23T07:30:00Z,2021-02-23T08:00:00Z
0.216,2021-02-23T07:00:00Z,2021-02-23T07:30:00Z
0.114,2021-02-23T06:30:00Z,2021-02-23T07:00:00Z
0.184,2021-02-23T06:00:00Z,2021-02-23T06:30:00Z
0.451,2021-02-23T05:30:00Z,2021-02-23T06:00:00Z
0.731,2021-02-23T05:00:00Z,2021-02-23T05:30:00Z
0.104,2021-02-23T04:30:00Z,2021-02-23T05:00:00Z
0.07,2021-02-23T04:00:00Z,2021-02-23T04:30:00Z
0.059,2021-02-23T03:30:00Z,2021-02-23T04:00:00Z
0.06,2021-02-23T03:00:00Z,2021-02-23T03:30:00Z
