value_exc_vat,value_inc_vat,valid_from,valid_to
8.4,8.82,2021-02-25T22:30:00Z,2021-02-25T23:00:00Z
10.5,11.025,2021-02-25T22:00:00Z,2021-02-25T22:30:00Z
10.67,11.2035,2021-02-25T21:30:00Z,2021-02-25T22:00:00Z
11.89,12.4845,2021-02-25T21:00:00Z,2021-02-25T21:30:00Z
11.55,12.1275,2021-02-25T20:30:00Z,2021-02-25T21:00:00Z
11.97,12.5685,2021-02-25T20:00:00Z,2021-02-25T20:30:00Z
13.1,13.755,2021-02-25T19:30:00Z,2021-02-25T20:00:00Z
14.7,15.435,2021-02-25T19:00:00Z,2021-02-25T19:30:00Z
28.67,30.1035,2021-02-25T18:30:00Z,2021-02-25T19:00:00Z
31.65,33.2325,2021-02-25T18:00:00Z,2021-02-25T18:30:00Z
30.81,32.3505,2021-02-25T17:30:00Z,2021-02-25T18:00:00Z
25.6,26.88,2021-02-25T17:00:00Z,2021-02-25T17:30:00Z
25.1,26.355,2021-02-25T16:30:00Z,2021-02-25T17:00:00Z
22.45,23.5725,2021-02-25T16:00:00Z,2021-02-25T16:30:00Z
7.77,8.1585,2021-02-25T15:30:00Z,2021-02-25T16:00:00Z
9.24,9.702,2021-02-25T15:00:00Z,2021-02-25T15:30:00Z
9.03,9.4815,2021-02-25T14:30:00Z,2021-02-25T15:00:00Z
10.14,10.647,2021-02-25T14:00:00Z,2021-02-25T14:30:00Z
10.25,10.7625,2021-02-25T13:30:00Z,2021-02-25T14:00:00Z
12.18,12.789,2021-02-25T13:00:00Z,2021-02-25T13:30:00Z
12.18,12.789,2021-02-25T12:30:00Z,2021-02-25T13:00:00Z
12.18,12.789,2021-02-25T12:00:00Z,2021-02-25T12:30:00Z
10.88,11.424,2021-02-25T11:30:00Z,2021-02-25T12:00:00Z
10.18,10.689,2021-02-25T11:00:00Z,2021-02-25T11:30:00Z
10.14,10.647,2021-02-25T10:30:00Z,2021-02-25T11:00:00Z
10.63,11.1615,2021-02-25T10:00:00Z,2021-02-25T10:30:00Z
13.02,13.671,2021-02-25T09:30:00Z,2021-02-25T10:00:00Z
12.79,13.4295,2021-02-25T09:00:00Z,2021-02-25T09:30:00Z
13.08,13.734,2021-02-25T08:30:00Z,2021-02-25T09:00:00Z
10.73,11.2665,2021-02-25T08:00:00Z,2021-02-25T08:30:00Z
10.12,10.626,2021-02-25T07:30:00Z,2021-02-25T08:00:00Z
9.87,10.3635,2021-02-25T07:00:00Z,2021-02-25T07:30:00Z
10.5,11.025,2021-02-25T06:30:00Z,2021-02-25T07:00:00Z
10.27,10.7835,2021-02-25T06:00:00Z,2021-02-25T06:30:00Z
9.62,10.101,2021-02-25T05:30:00Z,2021-02-25T06:00:00Z
7.31,7.6755,2021-02-25T05:00:00Z,2021-02-25T05:30:00Z
6.57,6.8985,2021-02-25T04:30:00Z,2021-02-25T05:00:00Z
6.93,7.2765,2021-02-25T04:00:00Z,2021-02-25T04:30:00Z
5.71,5.9955,2021-02-25T03:30:00Z,2021-02-25T04:00:00Z
6.8,7.14,2021-02-25T03:00:00Z,2021-02-25T03:30:00Z
5.49,5.7645,2021-02-25T02:30:00Z,2021-02-25T03:00:00Z
6.8,7.14,2021-02-25T02:00:00Z,2021-02-25T02:30:00Z
5.67,5.9535,2021-02-25T01:30:00Z,2021-02-25T02:00:00Z
6.4,6.72,2021-02-25T01:00:00Z,2021-02-25T01:30:00Z
6.99,7.3395,2021-02-25T00:30:00Z,2021-02-25T01:00:00Z
6.3,6.615,2021-02-25T00:00:00Z,2021-02-25T00:30:00Z
6.3,6.615,2021-02-24T23:30:00Z,2021-02-25T00:00:00Z
7.2,7.56,2021-02-24T23:00:00Z,2021-02-24T23:30:00Z
6.09,6.3945,2021-02-24T22:30:00Z,2021-02-24T23:00:00Z
9.56,10.038,2021-02-24T22:00:00Z,2021-02-24T22:30:00Z
9.45,9.9225,2021-02-24T21:30:00Z,2021-02-24T22:00:00Z
11.21,11.7705,2021-02-24T21:00:00Z,2021-02-24T21:30:00Z
11.66,12.243,2021-02-24T20:30:00Z,2021-02-24T21:00:00Z
10.88,11.424,2021-02-24T20:00:00Z,2021-02-24T20:30:00Z
12.18,12.789,2021-02-24T19:30:00Z,2021-02-24T20:00:00Z
14.28,14.994,2021-02-24T19:00:00Z,2021-02-24T19:30:00Z
27.24,28.602,2021-02-24T18:30:00Z,2021-02-24T19:00:00Z
29.38,30.849,2021-02-24T18:00:00Z,2021-02-24T18:30:00Z
28.75,30.1875,2021-02-24T17:30:00Z,2021-02-24T18:00:00Z
25.39,26.6595,2021-02-24T17:00:00Z,2021-02-24T17:30:00Z
24.76,25.998,2021-02-24T16:30:00Z,2021-02-24T17:00:00Z
22.87,24.0135,2021-02-24T16:00:00Z,2021-02-24T16:30:00Z
8.82,9.261,2021-02-24T15:30:00Z,2021-02-24T16:00:00Z
9.66,10.143,2021-02-24T15:00:00Z,2021-02-24T15:30:00Z
9.93,10.4265,2021-02-24T14:30:00Z,2021-02-24T15:00:00Z
10.65,11.1825,2021-02-24T14:00:00Z,2021-02-24T14:30:00Z
10.46,10.983,2021-02-24T13:30:00Z,2021-02-24T14:00:00Z
11.4,11.97,2021-02-24T13:00:00Z,2021-02-24T13:30:00Z
11.05,11.6025,2021-02-24T12:30:00Z,2021-02-24T13:00:00Z
10.73,11.2665,2021-02-24T12:00:00Z,2021-02-24T12:30:00Z
10.35,10.8675,2021-02-24T11:30:00Z,2021-02-24T12:00:00Z
9.49,9.9645,2021-02-24T11:00:00Z,2021-02-24T11:30:00Z
9.24,9.702,2021-02-24T10:30:00Z,2021-02-24T11:00:00Z
9.83,10.3215,2021-02-24T10:00:00Z,2021-02-24T10:30:00Z
9.66,10.143,2021-02-24T09:30:00Z,2021-02-24T10:00:00Z
9.66,10.143,2021-02-24T09:00:00Z,2021-02-24T09:30:00Z
9.56,10.038,2021-02-24T08:30:00Z,2021-02-24T09:00:00Z
8.82,9.261,2021-02-24T08:00:00Z,2021-02-24T08:30:00Z
9.95,10.4475,2021-02-24T07:30:00Z,2021-02-24T08:00:00Z
